model,family,priority,train_accuracy,validation_accuracy,test_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,status,notes
Naive Bayes,Traditional ML,core,0.6959488852637303,0.5854586981347545,0.5786602385181426,0.5311752392087336,0.5910299184074292,0.5269156320889558,0.6695982683493645,executed,Full test-set evaluation from local run
Logistic Regression,Traditional ML,core,0.8645459488852637,0.7573911940109124,0.7617356001014971,0.732233038261419,0.7608890697992661,0.7144308691959002,0.7573690157690806,executed,Full test-set evaluation from local run
Linear SVM,Traditional ML,core,0.9790918977705274,0.7485090724527345,0.7571682314133469,0.7318499973452427,0.7548031573268695,0.7413036184118857,0.7250045070842523,executed,Full test-set evaluation from local run
CNN,Deep Learning,recommended,0.8725122349102773,0.7426722497145032,0.7487947221517381,0.7245124932236754,0.7513390508431544,0.7074682188524772,0.7552156573828092,executed,Full test-set evaluation from local run
DistilBERT,Transformer,recommended,0.9491027732463296,0.7870828575053928,0.7986551636640447,0.7749803771357361,0.7981521586012762,0.780756814588055,0.769716056638863,executed,Full test-set evaluation from local run
BiLSTM,Deep Learning,optional,,,,,,,,pending,Optional extension not executed in final laptop run
GRU,Deep Learning,optional,0.8158510059815117,0.6967389925136404,0.6989342806394316,0.6703706483524831,0.7007601298818535,0.6476858386698295,0.7155639232165338,executed,Full test-set evaluation from local run
BERT,Transformer,optional,,,,,,,,pending,Optional extension not executed in final laptop run
RoBERTa,Transformer,optional,,,,,,,,pending,Optional extension not executed in final laptop run
