status,term,count
Anxiety,anxiety,3747
Anxiety,like,3290
Anxiety,nt,3196
Anxiety,feel,2800
Anxiety,not,2750
Anxiety,get,2126
Anxiety,time,2071
Anxiety,know,1921
Anxiety,day,1868
Anxiety,really,1604
Bipolar,nt,3220
Bipolar,like,3047
Bipolar,feel,2710
Bipolar,not,2634
Bipolar,get,1933
Bipolar,know,1858
Bipolar,bipolar,1856
Bipolar,time,1830
Bipolar,year,1525
Bipolar,really,1494
Depression,not,44995
Depression,like,18397
Depression,feel,18280
Depression,want,12703
Depression,life,11584
Depression,know,11155
Depression,get,10608
Depression,time,9551
Depression,even,9173
Depression,no,8746
Normal,nt,2209
Normal,not,1731
Normal,like,1273
Normal,want,1223
Normal,time,930
Normal,get,919
Normal,really,860
Normal,go,805
Normal,one,803
Normal,know,786
Personality disorder,like,1708
Personality disorder,nt,1653
Personality disorder,feel,1281
Personality disorder,people,1253
Personality disorder,not,1231
Personality disorder,know,828
Personality disorder,even,795
Personality disorder,time,685
Personality disorder,get,672
Personality disorder,want,669
Stress,nt,2081
Stress,like,1743
Stress,not,1600
Stress,stress,1524
Stress,feel,1523
Stress,get,1304
Stress,time,1231
Stress,know,1080
Stress,day,852
Stress,work,847
Suicidal,not,36911
Suicidal,want,11112
Suicidal,like,9195
Suicidal,feel,8553
Suicidal,life,8053
Suicidal,know,6837
Suicidal,no,6130
Suicidal,would,5730
Suicidal,get,5699
Suicidal,even,5181
